name,category,brand,purchase_date,purchase_price,condition,depreciation_years,valuation_mode,secondhand_value,replacement_cost,manual_value,ownership,notes
Sanremo Cafe Racer 3 Group,espresso machine,Sanremo,2020-02-01,24000,good,,secondhand,8000,24000,,cafe,
Mazzer Robur Electronic Grinder,grinder,Mazzer,2020-02-01,4500,good,,secondhand,1800,4500,,cafe,
Mahlkonig EK43 Grinder,grinder,Mahlkonig,2020-02-01,4800,good,,secondhand,3000,4800,,cafe,
Anfim SP2 Grinder,grinder,Anfim,2020-02-01,3500,good,,secondhand,1600,3500,,cafe,
Anfim SP2 Grinder,grinder,Anfim,2020-02-01,3500,good,,secondhand,1600,3500,,cafe,
Anfim SP2 Grinder,grinder,Anfim,2020-02-01,3500,good,,secondhand,1600,3500,,cafe,
Breville Filter Coffee Machine,brewer,Breville,2020-02-01,300,good,,secondhand,150,300,,cafe,
Williams Topaz Cake Display Fridge,refrigeration,Williams,2020-02-01,6500,good,,secondhand,2200,6500,,cafe,
Skope 2 Door Underbench Fridge,refrigeration,Skope,2020-02-01,4500,good,,secondhand,2200,4500,,cafe,
Skope 2 Door Underbench Fridge,refrigeration,Skope,2020-02-01,4500,good,,secondhand,2200,4500,,cafe,
Turbo Air Underbench Fridge Drawers,refrigeration,Turbo Air,2020-02-01,8000,good,,secondhand,3500,8000,,cafe,
Turbo Air Underbench Freezer Drawers,refrigeration,Turbo Air,2020-02-01,8500,good,,secondhand,4200,8500,,cafe,
Scotsman Ice Machine Underbench,refrigeration,Scotsman,2020-02-01,5000,good,,secondhand,2500,5000,,cafe,
Roband Sandwich Press,kitchen,Roband,2020-02-01,600,good,,secondhand,500,600,,cafe,
Roband Sandwich Press,kitchen,Roband,2020-02-01,600,good,,secondhand,500,600,,cafe,
Anvil Axis Oven,kitchen,Anvil,2020-02-01,2000,good,,secondhand,1600,2000,,cafe,
Commercial Dishwasher,kitchen,,2020-02-01,5000,good,,secondhand,2500,5000,,cafe,
Norris Cafemate Dishwasher,kitchen,Norris,2020-02-01,3500,good,,secondhand,2000,3500,,cafe,
Square Register,pos hardware,Square,2020-02-01,1100,good,,secondhand,600,1100,,cafe,
Square Terminal + Printer,pos hardware,Square,2020-02-01,1500,good,,secondhand,800,1500,,cafe,
iPad Pro 12,pos hardware,Apple,2020-02-01,2200,good,,secondhand,1200,2200,,cafe,
Crockery (plates bowls cups saucers teapots),other,,2020-02-01,3000,good,,secondhand,1200,3000,,cafe,Approx 90+ plates 30+ bowls 35+ cups 5 teapots included see contract schedule
Glassware & Serving Items (glasses boards trays),other,,2020-02-01,2000,good,,secondhand,800,2000,,cafe,Approx 50+ glasses 9 smoothie glasses 10 boards 6 trays included see contract schedule
